                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4379,                 4.6314,                 3.8239,                0.52164,                0.02197,                0.00998,                0.00305,                 1.9935,                 3.6425,                 3.2621,              0.0033309,              0.0033309,              0.0033309
                      2,                 1.5947,                 3.6283,                 2.5671,                0.14257,                0.09777,                0.05695,                0.02467,                  1.504,                 3.0469,                 2.5245,              0.0065982,              0.0065982,              0.0065982
                      3,                  1.299,                 3.0472,                 2.1739,                0.28338,                0.18096,                0.12766,                0.06272,                 1.3059,                 2.7544,                 2.2012,              0.0097996,              0.0097996,              0.0097996
                      4,                 1.1724,                 2.7082,                 2.0045,                0.25581,                0.26122,                 0.1856,                0.09504,                 1.2166,                 2.4849,                 2.0577,               0.009703,               0.009703,               0.009703
                      5,                 1.0973,                 2.4946,                 1.9051,                0.34609,                0.28827,                0.24391,                0.12926,                 1.1614,                 2.2545,                 1.9797,               0.009604,               0.009604,               0.009604
                      6,                 1.0484,                 2.3406,                 1.8395,                0.34971,                0.34623,                0.29299,                0.16456,                 1.0989,                 2.1293,                 1.8913,               0.009505,               0.009505,               0.009505
                      7,                 1.0156,                 2.2309,                 1.8004,                0.42192,                0.36855,                0.34664,                0.20298,                 1.0559,                 2.0027,                 1.8273,               0.009406,               0.009406,               0.009406
                      8,                0.98705,                  2.139,                 1.7618,                0.45192,                0.38266,                 0.3674,                0.21737,                 1.0331,                 1.9186,                 1.8079,               0.009307,               0.009307,               0.009307
                      9,                  0.961,                 2.0692,                 1.7308,                0.47603,                0.41275,                0.40694,                0.24679,                0.99805,                 1.8367,                 1.7654,               0.009208,               0.009208,               0.009208
                     10,                0.94013,                 1.9963,                 1.7048,                0.48502,                0.43394,                0.43252,                0.26603,                0.98237,                 1.7773,                 1.7321,               0.009109,               0.009109,               0.009109
                     11,                0.92515,                 1.9469,                 1.6896,                0.54473,                0.44227,                0.46654,                0.28559,                0.95582,                 1.7036,                 1.7081,                0.00901,                0.00901,                0.00901
