                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4512,                 5.0521,                 3.8651,                0.81648,                0.01243,                0.00815,                0.00246,                 2.0722,                 4.0489,                 3.3815,              0.0033309,              0.0033309,              0.0033309
                      2,                 1.6785,                 4.0107,                 2.7096,                0.28668,                0.07773,                0.05705,                0.02413,                 1.5463,                 3.3816,                 2.6452,              0.0065982,              0.0065982,              0.0065982
                      3,                 1.3542,                 3.3327,                 2.2808,                0.28377,                0.15564,                 0.1091,                0.05334,                 1.3865,                 3.0671,                 2.3848,              0.0097996,              0.0097996,              0.0097996
                      4,                 1.2136,                 2.9103,                 2.1022,                0.29405,                0.24264,                 0.1792,                0.09795,                 1.2409,                 2.7049,                 2.1829,               0.009703,               0.009703,               0.009703
                      5,                 1.1354,                 2.6511,                 1.9953,                0.33671,                0.30379,                 0.2497,                0.13666,                 1.1782,                 2.4307,                 2.0774,               0.009604,               0.009604,               0.009604
                      6,                 1.0876,                 2.4825,                 1.9303,                0.37354,                0.34943,                0.30563,                0.17495,                 1.1364,                 2.2574,                 2.0041,               0.009505,               0.009505,               0.009505
                      7,                 1.0535,                 2.3671,                 1.8869,                0.44325,                0.36352,                0.35344,                0.21195,                 1.0747,                 2.1154,                 1.9309,               0.009406,               0.009406,               0.009406
                      8,                 1.0217,                 2.2601,                 1.8485,                0.45659,                0.38969,                0.37498,                 0.2256,                 1.0536,                 2.0525,                 1.9147,               0.009307,               0.009307,               0.009307
                      9,                0.99748,                 2.1856,                  1.817,                0.50793,                0.40498,                0.40902,                  0.248,                 1.0204,                 1.9531,                 1.8695,               0.009208,               0.009208,               0.009208
                     10,                0.97516,                 2.1064,                 1.7905,                0.53419,                0.43205,                0.44942,                0.27727,                 1.0011,                 1.8587,                 1.8327,               0.009109,               0.009109,               0.009109
                     11,                0.96032,                  2.052,                 1.7752,                0.55439,                0.44426,                0.46368,                0.28974,                0.98198,                  1.803,                 1.8134,                0.00901,                0.00901,                0.00901
                     12,                0.94337,                 1.9907,                 1.7521,                0.54107,                0.45705,                0.48783,                0.30511,                0.97368,                 1.7492,                 1.7897,               0.008911,               0.008911,               0.008911
                     13,                0.93048,                 1.9495,                 1.7404,                0.58784,                0.47248,                0.51019,                0.32824,                0.94673,                 1.6806,                 1.7702,               0.008812,               0.008812,               0.008812
                     14,                 0.9182,                 1.8987,                 1.7214,                0.58578,                0.51169,                 0.5429,                0.34918,                0.93153,                 1.6076,                 1.7474,               0.008713,               0.008713,               0.008713
                     15,                0.90915,                 1.8749,                 1.7121,                0.60133,                0.51265,                0.55162,                0.35837,                0.92423,                 1.5753,                 1.7356,               0.008614,               0.008614,               0.008614
                     16,                0.89387,                 1.8323,                 1.6957,                0.65179,                0.51591,                0.57286,                0.37519,                0.90667,                 1.5177,                 1.7165,               0.008515,               0.008515,               0.008515
                     17,                 0.8885,                 1.7947,                 1.6856,                0.65764,                0.51614,                0.58253,                0.38515,                0.89661,                 1.4961,                 1.7014,               0.008416,               0.008416,               0.008416
                     18,                0.87997,                 1.7693,                 1.6771,                 0.6552,                0.53457,                0.59414,                0.39538,                0.88777,                 1.4885,                 1.6896,               0.008317,               0.008317,               0.008317
                     19,                0.87383,                 1.7352,                 1.6657,                0.66099,                0.55368,                 0.6137,                0.40671,                0.87691,                 1.4253,                 1.6751,               0.008218,               0.008218,               0.008218
                     20,                0.86215,                  1.709,                 1.6521,                  0.679,                0.55388,                 0.6199,                 0.4149,                0.86455,                 1.4063,                 1.6566,               0.008119,               0.008119,               0.008119
                     21,                0.85734,                 1.6931,                  1.647,                0.69364,                0.55369,                0.63081,                0.42558,                0.85769,                 1.3802,                  1.652,                0.00802,                0.00802,                0.00802
                     22,                0.84975,                   1.66,                 1.6388,                0.69847,                0.57326,                0.64371,                0.43395,                0.84895,                 1.3546,                  1.642,               0.007921,               0.007921,               0.007921
                     23,                0.84417,                 1.6407,                 1.6335,                0.71216,                0.56742,                0.64616,                0.43843,                 0.8464,                 1.3388,                 1.6395,               0.007822,               0.007822,               0.007822
                     24,                0.83619,                 1.6235,                 1.6243,                0.71874,                0.57631,                 0.6565,                0.44965,                0.83657,                 1.3237,                 1.6248,               0.007723,               0.007723,               0.007723
                     25,                0.83289,                 1.6099,                 1.6174,                0.71448,                0.59011,                0.66523,                0.45312,                0.82811,                 1.2988,                 1.6142,               0.007624,               0.007624,               0.007624
                     26,                0.82386,                 1.5891,                 1.6096,                0.71246,                 0.5874,                0.66887,                0.45758,                0.82506,                 1.2867,                 1.6091,               0.007525,               0.007525,               0.007525
                     27,                0.82387,                 1.5671,                 1.6087,                 0.7256,                 0.5961,                  0.675,                0.46318,                 0.8188,                 1.2611,                 1.6016,               0.007426,               0.007426,               0.007426
                     28,                0.81554,                 1.5526,                 1.5973,                0.73904,                0.59387,                0.67545,                0.46599,                0.81739,                 1.2596,                 1.5997,               0.007327,               0.007327,               0.007327
                     29,                0.80894,                 1.5369,                 1.5877,                0.72572,                0.61946,                0.68482,                0.47147,                0.81485,                 1.2474,                 1.5944,               0.007228,               0.007228,               0.007228
                     30,                0.80545,                 1.5232,                 1.5875,                0.71454,                0.61837,                0.68686,                0.47468,                0.81048,                 1.2343,                 1.5916,               0.007129,               0.007129,               0.007129
                     31,                0.79934,                 1.5067,                 1.5794,                0.74715,                0.61254,                0.69347,                0.47886,                0.80737,                 1.2149,                 1.5851,                0.00703,                0.00703,                0.00703
